comment,output,flag,username,timestamp
Babar azam is just bad as a cricketer and i hate him,"toxic: False
severe_toxic: False
obscene: False
threat: False
insult: False
identity_hate: False
",,,2024-05-05 21:13:52.051800
,"toxic: True
severe_toxic: False
obscene: True
threat: False
insult: False
identity_hate: False
",,,2024-05-08 13:37:13.437674
